3926.530       HeI                    
3935.912       HeI
3964.727       HeI 
3970.080       H!7e!
4009.0         HeI
4025.6         HeI+HeII                
4101.737       H!7d!    
4120.993       HeI 
4199.8         HeII 
4143.759       HeI
4168.971       HeI
4340.468       H!7c!   
4387.928       HeI 
4437.549       HeI
4471.688       HeI
4541.6         HeII 
4685.810       HeII 
4713.258       HeI
4861.332       H!7b!
4921.929       HeI 
5015.675       HeI 
5047.736       HeI
5411.5         HeII 
5875.792       HeI 
6562.817       H!7a!   
6678.151       HeI 
7065.440       HeI
7177.          HeII
7281.349       HeI
7499.850       HeI
8237.          HeII
